"ADDRESS","ADDRESSEE","FULL_NAME"
"IN MAIN
India","IN MAIN","IN MAIN"
"Azmi
Balakong  
Malaysia","Azmi","MEGA - MEGA BALAKONG : MIGA - MIGA BALAKONG"
"JB - JOHOR BAHRU
Johor Bahru  
Malaysia","JB - JOHOR BAHRU","MEGA - MEGA BALAKONG : JB - JOHOR BAHRU"
"KU - KUCHING
Kuching  
Malaysia","KU - KUCHING","MEGA - MEGA BALAKONG : KU - KUCHING"
"LIMB - LIMBANG
Limbang  
Malaysia","LIMB - LIMBANG","MEGA - MEGA BALAKONG : LIMB - LIMBANG"
"MI - MIRI
Miri  
Malaysia","MI - MIRI","MEGA - MEGA BALAKONG : MI - MIRI"
"SN - SANDAKAN
Sandakan  
Malaysia","SN - SANDAKAN","MEGA - MEGA BALAKONG : SN - SANDAKAN"
"ARME - ARME
Delivery Van 8
Malaysia","ARME - ARME","MEGA - MEGA BALAKONG : ARME - ARME"
"YOGA - YOGA
Delivery Van 14
Malaysia","YOGA - YOGA","MEGA - MEGA BALAKONG : YOGA - YOGA"
"NAWA-NAWAWI
Malaysia","NAWA-NAWAWI","MEGA - MEGA BALAKONG : NAWA-NAWAWI"
"HASR - HASROL
Delivery Van 10
Malaysia","HASR - HASROL","MEGA - MEGA BALAKONG : HASR - HASROL"
"LOCATION 3 
3017 Ubi Road 1 #01-131
408708
Singapore","Location 3 (RIC & IVY)","Location 2 (SEIS Singapore) : Location 3 (RIC & IVY)"
"BOOK CLUB RESERVED WAREHOUSE
Malaysia","BOOK CLUB RESERVED WAREHOUSE","BOOK CLUB RESERVED WAREHOUSE"
"Grolier Malaysia
Malaysia","Grolier Malaysia","TRADE RESERVED WAREHOUSE"
"Grolier Malaysia
Malaysia","Grolier Malaysia","EDUCATION EXCESS WAREHOUSE"
"TH SCHOLASTIC
Thailand","TH SCHOLASTIC","TH SCHOLASTIC"
"PK - PORT KLANG
Klang  
Malaysia","PK - PORT KLANG","MEGA - MEGA BALAKONG : PK - PORT KLANG"
"DROP SHIPMENT TH
Thailand","DROP SHIPMENT TH","DROP SHIPMENT TH"
"LB - LABUAN
Labuan  
Malaysia","LB - LABUAN","MEGA - MEGA BALAKONG : LB - LABUAN"
"LKWI - LANGKAWI
Langkawi  
Malaysia","LKWI - LANGKAWI","MEGA - MEGA BALAKONG : LKWI - LANGKAWI"
"SI - SIBU
Sibu  
Malaysia","SI - SIBU","MEGA - MEGA BALAKONG : SI - SIBU"
"TA - TAWAU
Tawau  
Malaysia","TA - TAWAU","MEGA - MEGA BALAKONG : TA - TAWAU"
"ANTH - ANTHONY
Delivery Van 2
Malaysia","ANTH - ANTHONY","MEGA - MEGA BALAKONG : ANTH - ANTHONY"
