"ADDRESS","ADDRESSEE","ADDRESS_ONE","ADDRESS_THREE","ADDRESS_TWO","ATTENTION","BRANCH_ID","CITY","COUNTRY","TO_CHAR(DATE_LAST_MODIFIED, YYYY-MM-DD HH24:MI:SS)","FULL_NAME","INVENTORY_AVAILABLE","INVENTORY_AVAILABLE_WEB_STORE","ISINACTIVE","IS_INCLUDE_IN_SUPPLY_PLANNING","LINE_OF_BUSINESS_ID","LOCATION_EXTID","LOCATION_ID","NAME","PARENT_ID","PHONE","RETURNADDRESS","RETURN_ADDRESS_ONE","RETURN_ADDRESS_TWO","RETURN_CITY","RETURN_COUNTRY","RETURN_STATE","RETURN_ZIPCODE","STATE","TRAN_NUM_PREFIX","ZIPCODE"
"IN MAIN
India","IN MAIN",,,,,,,"IN","2015-01-19 09:47:56","IN MAIN","Yes","Yes","No","Yes","105.0",,"56.0","IN MAIN",,,,,,,,,,,,
"Azmi
Balakong  
Malaysia","Azmi",,,,,,"Balakong","MY","2014-07-22 18:18:49","MEGA - MEGA BALAKONG : MIGA - MIGA BALAKONG","Yes","Yes","No","No","105.0",,"16.0","MIGA - MIGA BALAKONG","1.0","016-2733420","Afghanistan",,,,"AF",,,"Selangor",,
"JB - JOHOR BAHRU
Johor Bahru  
Malaysia","JB - JOHOR BAHRU",,,,,,"Johor Bahru","MY","2015-06-03 03:24:27","MEGA - MEGA BALAKONG : JB - JOHOR BAHRU","Yes","Yes","Yes","No","105.0",,"20.0","JB - JOHOR BAHRU","1.0",,"Afghanistan",,,,"AF",,,,,
"KU - KUCHING
Kuching  
Malaysia","KU - KUCHING",,,,,,"Kuching","MY","2014-07-22 18:18:48","MEGA - MEGA BALAKONG : KU - KUCHING","Yes","Yes","No","No","105.0",,"22.0","KU - KUCHING","1.0",,"Afghanistan",,,,"AF",,,,,
"LIMB - LIMBANG
Limbang  
Malaysia","LIMB - LIMBANG",,,,,,"Limbang","MY","2014-07-22 18:18:48","MEGA - MEGA BALAKONG : LIMB - LIMBANG","Yes","Yes","No","No","105.0",,"24.0","LIMB - LIMBANG","1.0",,"Afghanistan",,,,"AF",,,,,
"MI - MIRI
Miri  
Malaysia","MI - MIRI",,,,,,"Miri","MY","2014-07-22 18:18:48","MEGA - MEGA BALAKONG : MI - MIRI","Yes","Yes","No","No","105.0",,"26.0","MI - MIRI","1.0",,"Afghanistan",,,,"AF",,,,,
"SN - SANDAKAN
Sandakan  
Malaysia","SN - SANDAKAN",,,,,,"Sandakan","MY","2014-07-22 18:18:49","MEGA - MEGA BALAKONG : SN - SANDAKAN","Yes","Yes","No","No","105.0",,"28.0","SN - SANDAKAN","1.0",,"Afghanistan",,,,"AF",,,,,
"ARME - ARME
Delivery Van 8
Malaysia","ARME - ARME","Delivery Van 8",,,,,,"MY","2014-07-22 18:18:47","MEGA - MEGA BALAKONG : ARME - ARME","Yes","Yes","No","No","105.0",,"37.0","ARME - ARME","1.0",,"Afghanistan",,,,"AF",,,,,
"YOGA - YOGA
Delivery Van 14
Malaysia","YOGA - YOGA","Delivery Van 14",,,,,,"MY","2014-07-22 18:18:49","MEGA - MEGA BALAKONG : YOGA - YOGA","Yes","Yes","No","No","105.0",,"43.0","YOGA - YOGA","1.0",,"Afghanistan",,,,"AF",,,,,
"NAWA-NAWAWI
Malaysia","NAWA-NAWAWI",,,,,,,"MY","2015-06-03 03:27:09","MEGA - MEGA BALAKONG : NAWA-NAWAWI","Yes","Yes","Yes","Yes","105.0",,"48.0","NAWA-NAWAWI","1.0",,,,,,,,,,,
"HASR - HASROL
Delivery Van 10
Malaysia","HASR - HASROL","Delivery Van 10",,,,,,"MY","2014-07-22 18:18:48","MEGA - MEGA BALAKONG : HASR - HASROL","Yes","Yes","No","No","105.0",,"39.0","HASR - HASROL","1.0",,"Afghanistan",,,,"AF",,,,,
"LOCATION 3 
3017 Ubi Road 1 #01-131
408708
Singapore","Location 3 (RIC & IVY)","3017 Ubi Road 1 #01-131",,,,,,"SG","2014-08-22 01:15:00","Location 2 (SEIS Singapore) : Location 3 (RIC & IVY)","Yes","Yes","No","No",,,"45.0","Location 3 (RIC & IVY)","15.0",,"Afghanistan",,,,"AF",,,,,"408708"
"BOOK CLUB RESERVED WAREHOUSE
Malaysia","BOOK CLUB RESERVED WAREHOUSE",,,,,,,"MY","2014-09-29 04:59:11","BOOK CLUB RESERVED WAREHOUSE","Yes","Yes","No","No","101.0",,"4.0","BOOK CLUB RESERVED WAREHOUSE",,,"Afghanistan",,,,"AF",,,,,
